"","block","mic","rep","id","K.s.mod","K.s.post","K.s.min","K.s.max","K.s.na","r.max.mod","r.max.post","r.max.min","r.max.max","r.max.na","aff.mod","aff.post","aff.min","aff.max","aff.na"
"34",1,"14",2,"b1.m14",20.5550309577645,20.0288272321649,12.2768712150882,29.1689995070705,0,1.56778159085759,1.56530676323472,1.43917100060599,1.71069963500766,0,0.0486498902412141,0.0499280356773036,0.0302645958821745,0.0718864220369779,0
"35",1,"10",3,"b1.m10",17.6464076980313,16.7071598366972,8.27994963942171,29.532022675291,0,1.5197524999875,1.51522855656405,1.32670497282395,1.72428321911271,0,0.056668757580137,0.0598545779045679,0.0267751678604997,0.10154936336777,0
"36",1,"7",3,"b1.m7",32.5909024108418,31.3425846156,13.1847535184311,57.2193686096018,0,1.52776245828196,1.52610601837421,1.25488241665921,1.79399428170555,0,0.0306834093574328,0.0319054734472858,0.0166711363492314,0.0659533418266084,0
"37",1,"none",3,"b1.mnone",27.5016111442831,26.5691243076215,13.002375726639,42.4602497912925,0,1.58910104119101,1.58636598817668,1.40084210195189,1.79779835403439,0,0.0363615060497237,0.0376376725444468,0.0190187836906289,0.0612171971236914,0
"38",1,"9",2,"b1.m9",25.3626297762889,24.4275128703176,13.3476426774915,39.9767625091361,0,1.33552930356452,1.33412724638824,1.18578037744296,1.49344639367585,0,0.0394280880500366,0.0409374476977421,0.0219830193947864,0.0675948606913089,0
"39",1,"5",3,"b1.m5",36.5378612531805,35.9116838360441,19.2348374911104,56.1495460996193,0,1.63508388040316,1.63476450156072,1.42695174552218,1.8509194727038,0,0.0273688706919854,0.0278460908960161,0.0167077315989239,0.0463478583013652,0
"40",1,"1",2,"b1.m1",31.7828829646154,30.4149003624696,11.5134503490819,55.623331027415,0,1.34769622459728,1.34715735717213,1.0975412811532,1.58704428657715,0,0.0314634767750088,0.0328786216314232,0.0166705509928414,0.0704396139892465,0
"41",1,"8",3,"b1.m8",34.7740569729931,34.0226411600622,18.5036203380416,52.166956065583,0,1.62779239683935,1.62679149261949,1.44124852150171,1.82272319816247,0,0.0287570702715717,0.0293921919620455,0.0166674047245834,0.0459269371844202,0
"42",1,"6",1,"b1.m6",29.0121213421846,27.4685411428596,11.7351032745608,50.8722800345092,0,1.39177777563422,1.39015691779301,1.16779675271007,1.59967445712323,0,0.0344683516315632,0.036405282510552,0.0167114867557895,0.0681477305724556,0
"43",3,"8",2,"b3.m8",54.4912267246656,55.7691919877677,44.8444008234552,59.9998511253008,0,1.53328720774924,1.53395618204197,1.40252416140905,1.67172942638055,0,0.0183515780448992,0.017931046954071,0.0166667080208524,0.0222993279347589,0
"44",3,"6",2,"b3.m6",56.6529252678063,57.5513990712746,50.3865027449618,59.9999375367732,0,1.4957718999893,1.49780883286431,1.37264724795343,1.61579631105729,0,0.0176513391898628,0.0173757721993104,0.0166666840175811,0.0198465848098575,0
"45",3,"11",2,"b3.m11",55.2701591642922,56.5236892026289,46.4838218167104,59.9988144623119,0,1.52167890328489,1.52393327953073,1.27767050802875,1.73320343297494,0,0.0180929459064424,0.0176916973125833,0.0166669959891982,0.0215128610539616,0
"46",3,"none",2,"b3.mnone",55.1881219479076,56.3514799137012,46.7929607209169,59.9990492635972,0,1.52196010056355,1.52347767500226,1.39524038627702,1.64981708016877,0,0.0181198410945005,0.0177457628741837,0.0166669307642967,0.0213707357814824,0
"47",3,"all",1,"b3.mall",54.943249034386,56.3500130273028,45.2314349404281,59.996985803514,0,1.7229140673829,1.72509820026743,1.49351803015427,1.97309292768869,0,0.0182005982095117,0.0177462248262072,0.0166670172909247,0.0221077869549913,0
"48",3,"2",3,"b3.m2",55.989985449075,57.0036336069759,48.6240576097914,59.9999487309035,0,1.58810372634217,1.588663019266,1.45900615060309,1.71591626781195,0,0.0178603368438011,0.0175427413602733,0.0166666809080945,0.0205659512833135,0
"49",3,"9",2,"b3.m9",55.9671739438054,57.0076680040338,48.6831914986593,59.9996225121247,0,1.53576868947371,1.53810392363224,1.40601828058208,1.66305284884948,0,0.0178676164889809,0.0175414998545796,0.0166667715250695,0.0205409704913766,0
"50",3,"12",1,"b3.m12",55.5897468717474,56.7428628865705,47.4309140908657,59.9993755017346,0,1.50987940794473,1.51079757871696,1.37222735604579,1.64119336899968,0,0.0179889288272373,0.01762336176114,0.0166668401402126,0.0210832959719952,0
"51",3,"5",1,"b3.m5",54.4896255279996,55.7085950248595,44.9129687165598,59.9980268306831,0,1.50179385641922,1.50296765135129,1.35726993968503,1.66295943240498,0,0.0183521173124258,0.0179505514286872,0.0166672147872803,0.0222652839163422,0
"52",3,"14",1,"b3.m14",54.2692486055409,55.2731202336185,45.5008480851225,59.9980935466515,0,1.56629341702397,1.56742901624838,1.46149397017995,1.67761190450419,0,0.018426641711378,0.018091976647754,0.0166671962538685,0.0219776123321748,0
"53",3,"15",1,"b3.m15",53.4156369865012,54.7871394620917,42.5561842481466,59.9984823216347,0,1.37581272769805,1.37636192038338,1.2294074929536,1.51337239175896,0,0.0187211097052482,0.0182524587320792,0.0166670882546543,0.0234983473651906,0
"54",3,"7",2,"b3.m7",55.2784220576946,56.401335073872,46.7661025080092,59.9996574472663,0,1.46133378756751,1.46132871290016,1.30214062754342,1.60312926665308,0,0.018090241413843,0.0177300767573981,0.0166667618207471,0.0213830091962173,0
"55",3,"1",3,"b3.m1",54.3163932814106,55.6852211962924,44.5312021787528,59.9994475215915,0,1.47102055597863,1.47056518646627,1.30492116287127,1.63784394751138,0,0.0184106480490899,0.0179580861586708,0.0166668201343044,0.0224561644661174,0
"56",3,"13",3,"b3.m13",54.9855642476135,56.2946948319075,45.7210259838779,59.9996363448941,0,1.36941700767741,1.37028698306293,1.1994186575072,1.55353888792992,0,0.0181865915842339,0.0177636632254622,0.0166667676825861,0.0218717751511661,0
"57",3,"4",1,"b3.m4",56.1484301767728,57.1105650127631,49.2124173314328,59.9986956251803,0,1.48259059315487,1.48374711509118,1.35880522942439,1.59722846799614,0,0.0178099369270287,0.0175098950602616,0.0166670290008825,0.0203200747743249,0
"58",3,"3",3,"b3.m3",55.9093782383288,57.0049714649225,48.38595752159,59.9996869062508,0,1.60623105232751,1.60712709318242,1.47071025618356,1.72912954651817,0,0.0178860869412146,0.0175423296302867,0.0166667536376064,0.0206671532655688,0
"59",3,"10",3,"b3.m10",55.5326229276831,56.6231953493742,47.4402108470727,59.9992195998128,0,1.5181426406094,1.51899888121883,1.40176137620676,1.63307596228964,0,0.0180074332397777,0.0176606070030389,0.016666883447316,0.0210791643237754,0
"60",4,"7",2,"b4.m7",50.8261106886301,52.2358520643672,37.7788110007368,59.9963810045515,0,1.54290122463644,1.54617360817688,1.37027352039877,1.71964280375803,0,0.0196749266558321,0.0191439397032574,0.0166676720038187,0.0264698642839897,0
"61",4,"14",1,"b4.m14",42.9172950977994,43.0282002751952,28.1268121528424,59.6921893392921,0,1.49514618413368,1.49641274026905,1.31857394066252,1.68902598556025,0,0.0233006296813723,0.0232405723168507,0.0166675753572618,0.0352433355384879,0
"62",4,"2",1,"b4.m2",45.3183744841519,45.4676186768192,31.8931868522778,59.9738656417481,0,1.57863220857014,1.5788976242546,1.40520073144294,1.75002429778598,0,0.0220661047838268,0.0219936743845481,0.0166739293740621,0.0313546590571767,0
"63",4,"10",1,"b4.m10",39.2803098686496,38.8121275490032,23.6222313801954,57.5922104160055,0,1.68837117886396,1.68786718047465,1.48846304106846,1.89121929109591,0,0.0254580476412718,0.0257651425772191,0.0166686255877694,0.0394431785924461,0
"64",4,"13",2,"b4.m13",51.2870721055154,52.7561354426895,38.3781319915434,59.9997430856682,0,1.57637654733866,1.57764003574107,1.35743044371891,1.79111666897956,0,0.0194980910187786,0.0189551412731707,0.0166667380320644,0.0260565053093347,0
"65",4,"3",1,"b4.m3",48.6576025843464,49.9287056608087,33.8832895640033,59.9962906785877,0,1.58913549598339,1.58978587983765,1.36899037298069,1.80863762710174,0,0.0205517729375699,0.0200285584771051,0.0166676970974289,0.0295130730477354,0
"66",4,"4",3,"b4.m4",43.4581733111407,43.7967370805127,27.6893911803213,59.8300409144481,0,1.59632410402106,1.59686722716295,1.37139832260209,1.82179936252088,0,0.0230106312301821,0.0228327511803185,0.0166682726036455,0.036030605948567,0
"67",4,"5",1,"b4.m5",46.6080044479682,46.902689969742,34.2766974858601,59.9977041112628,0,1.52437653038257,1.52358394387975,1.37973264660635,1.65080489820575,0,0.0214555420650195,0.0213207387634986,0.0166673044379423,0.0291743392260157,0
"68",4,"11",2,"b4.m11",47.4737308922443,49.5820455523518,28.4791872398419,59.9950850171952,0,1.38868155637327,1.39075810109311,1.09693985442377,1.65723757828746,0,0.0210642808392245,0.0201685910508378,0.0166680320515154,0.0351133616131087,0
"69",4,"8",3,"b4.m8",44.0378940809603,44.4860873993714,27.8949922145162,59.998230509575,0,1.52439130767318,1.52401002534165,1.31873910671159,1.75233885051525,0,0.0227077161810139,0.0224789380441746,0.016667158206281,0.0358487284136832,0
"70",4,"15",2,"b4.m15",41.4389340392803,41.5524352474999,25.0159649756463,59.8079017029046,0,1.61939304479693,1.61889886776786,1.43172498701709,1.82678899746197,0,0.0241318948757729,0.0240659781820952,0.0166672970972456,0.0397476127702395,0
"71",4,"none",2,"b4.mnone",48.7601519677253,49.531395795273,35.6916022696774,59.9857612254304,0,1.45784069474931,1.45999505449735,1.31906354324892,1.58752615957526,0,0.0205085496998021,0.0201892150214897,0.0166668433717051,0.0280111769999219,0
"72",4,"1",2,"b4.m1",53.4121391311368,54.9562821672463,42.3592371113449,59.9970587627787,0,1.61710286756366,1.61802995033697,1.3805987614052,1.82675529503381,0,0.0187223357137001,0.0181962818719016,0.0166674837170582,0.0236076017462593,0
"73",4,"12",2,"b4.m12",42.3099379204752,42.3106194991302,27.5982665681089,59.9520075351643,0,1.4714787449661,1.47229049670404,1.28818544670564,1.66796925739422,0,0.0236351091291974,0.0236347284266334,0.0166743666907953,0.0362258531469471,0
"74",4,"all",3,"b4.mall",53.6555969289903,55.0502264405408,42.7614409426843,59.9975287303424,0,1.55821343137739,1.55866905603432,1.38360373206985,1.72621975267209,0,0.018637384676261,0.0181652295559024,0.0166673531587356,0.0233855543207807,0
"75",4,"6",1,"b4.m6",45.6461903683506,46.2344633268645,30.1769768658264,59.9998712650725,0,1.53233958455002,1.53371161885858,1.34216396990337,1.73866406555294,0,0.0219076332971122,0.0216288874373891,0.0166667024264455,0.0331378455981931,0
"76",4,"9",2,"b4.m9",41.2122515136259,41.1995747949314,25.5681549691245,59.7316771785816,0,1.49252277676621,1.49230547251255,1.22815438771954,1.72899266593705,0,0.0242646291642031,0.0242720951621693,0.0166685995677062,0.0387742982491468,0
